"Site","Array","Lat","Lon","Depth","Type","Cluster","Method","Notes","LatDD","LonDD","Distance.to.Port","Distance.to.Shore","n","Rare","Acer","Mean.Length","Skew","Kurt","CV","H","J","Sp.rich","Rugosity","Sed.max","Sed.mean","Relief.max","Relief.mean"
"Core 1","G31","26 00.072","80 06.498",4.9,"Fragment","Y","Cement","",26.0012,-80.1083,9633,841,36,15,4,15.2361111111111,1.27975334887551,3.96881261759666,27.8566681470078,1.57139944253254,0.877014727434114,6,0.9345,4,0.5,32,11.25
"Core 1","G34","26 00.035","80 06.485",6.1,"Fragment","Y","Cement","",26.00058333,-80.10808333,9633,841,67,30,24,12.2388059701493,1.05452160663735,3.04391083751306,23.0739102319263,1.33258880155172,0.640839751847611,8,0.9605,2,0.85,30,14.75
"Core 1","G36","26 00.084","80 06.480",5.2,"Fragment","Y","Cement","",26.0014,-80.108,9633,841,118,9,0,10.1991525423729,1.15443779045888,2.78200624764408,19.5101686968097,1.23767575856463,0.769011186453771,5,0.936,2,0.25,36,18.15
"Core 1","S10","26 00.064","80 06.489",4.9,"Fragment","Y","Cement","",26.00106667,-80.10815,9633,841,28,10,2,12.5714285714286,1.79145839457601,6.01645663427423,25.7008952084725,1.61522333282173,0.735119818648639,9,0.9155,5,0.85,21,8.35
"Core 1","S8","26 00.049","80 06.487",6.4,"Fragment","Y","Cement","",26.00081667,-80.10811667,9633,841,34,20,16,22.6764705882353,0.968021192447007,2.41732967248863,34.4446436577479,1.28435214825555,0.798012857987858,5,0.9715,12,1.65,25,10.75
"Core 2","C5-I","26 00.841","80 06.380",6.1,"Fragment","Y","Cement","",26.01401667,-80.10633333,8163,918,64,12,3,13.140625,1.99256640473452,6.13538629340979,28.0523472204689,1.66379370727488,0.800115643515911,8,0.868,8,1.7,45,20
"Core 2","C9-3","26. 00.947","80 06.388",4.6,"Microfrag","Y","Cement","Microfrags and recruits",26.015783,-80.10645,8163,918,26,13,10,16.7692307692308,0.702688712954447,3.53048358390461,23.1870639867733,1.48514619217645,0.763214166336226,7,0.9205,1,0.2,20,9.85
"Core 2","CI-3","26. 00.983","80 06.390",5.2,"Microfrag","Y","Cement","Microfrags and recruits",26.016383,-80.10645,8163,918,47,15,2,9.20212765957447,1.42361136901284,3.42724423939453,17.0977612088923,1.80330112612435,0.820717711209366,9,0.891,1,0.4,40,15
"Core 2","CIO-1","26 00.958","80 06.387",4.6,"Microfrag","Y","Cement","Microfrags and recruits",26.015967,-80.10645,8163,918,28,13,1,7.96428571428571,3.65021529784931,15.0112156508011,13.9582976733992,1.56708122929332,0.874604686737596,6,0.9295,2,0.2,25,12.25
"Core 2","CIO-2","26 00.968","80 06.387",4.9,"Microfrag","Y","Cement","Microfrags and recruits",26.016133,-80.10645,8163,918,35,17,0,8.7,1.5,3.25,15.3268428828453,1.63695389154699,0.913601362046793,6,0.907,1,0.05,30,14.3
"Core 2","G37","26 00.834","80 06.394",5.6,"Microfrag","N","Cement","",26.0139,-80.10656667,8163,918,42,12,7,13.1190476190476,1.42990221133135,4.41381312640944,25.8130616909418,1.68638398893969,0.810979272625946,8,0.91,1,0.1,41,13.65
"Core 2","GC25","26 00.879","80 06.380",6.4,"Fragment","Y","Cement","",26.01465,-80.10633333,8163,918,50,16,0,10.38,1.56248861794549,4.6886141109548,20.7579019228946,1.82403319283871,0.877174547241757,8,0.936,2,0.25,52,24.6
"Core 2","GC29","26 00.853","80 06.383",6.7,"Fragment","Y","Cement","",26.01421667,-80.10638333,8163,918,68,19,0,11.4705882352941,1.29076059078726,3.87702852842774,22.1577250983792,1.74035691673017,0.79207056696957,9,0.8955,11,1.8,40,16.6
"Core 2","GC39","26 00.859","80 06.388",6.4,"Fragment","Y","Cement","",26.01431667,-80.10646667,8163,918,44,12,0,11.3181818181818,1.94791273280587,7.15715385622136,23.095025948279,1.6936699555771,0.814483081937905,8,0.906,2,0.6,35,15.9
"Core 2","X17","26 00.862","80 06.403",5.3,"Fragment","Y","Cement","",26.01436667,-80.10671667,8163,918,48,25,12,16.78125,1.04077980203709,3.63556938076632,26.5402331319163,1.9746064922327,0.898682143191113,9,0.907,3,0.25,29,11.15
"Core 2","X18","26 00.850","80 06.399",5.7,"Fragment","Y","Cement","",26.01416667,-80.10665,8163,918,23,8,2,14.2173913043478,1.61276918362904,5.04968113856571,27.5080180763329,1.76397368409582,0.906503152240702,7,0.8745,1,0.2,18,11.15
"Core 2","X19","26 00.878","80 06.402",4.6,"Fragment","Y","Cement","",26.01463333,-80.1067,8163,918,46,26,19,16.0326086956522,1.26710547292049,4.06832322578264,27.4928088749534,1.66603337296415,0.801192695043629,8,0.8695,1,0.05,23,10.45
