Species,Site,Array,Period,Initial.n,n,Survival.Prev
ACER,Core 1,G31,0 Year,90,90,100
ACER,Core 1,G31,1 Year,90,64,71.11111111
ACER,Core 1,G34,0 Year,90,90,100
ACER,Core 1,G34,1 Year,90,54,60
ACER,Core 1,G36,0 Year,90,90,100
ACER,Core 1,G36,1 Year,90,75,83.33333333
ACER,Core 1,S10,0 Year,90,90,100
ACER,Core 1,S10,1 Year,90,68,75.55555556
ACER,Core 1,S8,0 Year,90,90,100
ACER,Core 1,S8,1 Year,90,36,40
ACER,Core 2,C5-I,0 Year,103,103,100
ACER,Core 2,C5-I,1 Year,103,90,87.37864078
ACER,Core 2,GC25,0 Year,102,102,100
ACER,Core 2,GC25,1 Year,102,96,94.11764706
ACER,Core 2,GC29,0 Year,102,102,100
ACER,Core 2,GC29,1 Year,102,42,41.17647059
ACER,Core 2,GC39,0 Year,102,102,100
ACER,Core 2,GC39,1 Year,102,62,60.78431373
ACER,Core 2,X17,0 Year,90,90,100
ACER,Core 2,X17,2 Year,90,79,87.77777778
ACER,Core 2,X18,0 Year,90,90,100
ACER,Core 2,X18,2 Year,90,69,76.66666667
ACER,Core 2,X19,0 Year,90,90,100
ACER,Core 2,X19,2 Year,90,64,71.11111111
ACER,Experimental 1,GX30,0 Year,102,102,100
ACER,Experimental 1,GX30,1 Year,102,89,87.25490196
ACER,Experimental 1,HC7,0 Year,102,102,100
ACER,Experimental 1,HC7,1 Year,102,75,73.52941176
ACER,Experimental 1,XC1,0 Year,102,102,100
ACER,Experimental 1,XC1,1 Year,102,62,60.78431373
ACER,Experimental 1,XC2,0 Year,105,105,100
ACER,Experimental 1,XC2,1 Year,105,87,82.85714286
ACER,Experimental 1,XC3,0 Year,108,108,100
ACER,Experimental 1,XC3,1 Year,108,100,92.59259259
ACER,Experimental 4,G23,0 Year,90,90,100
ACER,Experimental 4,G23,1 Year,90,59,65.55555556
ACER,Experimental 4,G23,2 Year,90,39,43.33333333
ACER,Experimental 4,S9,0 Year,90,90,100
ACER,Experimental 4,S9,1 Year,90,78,86.66666667
ACER,Experimental 4,S9,2 Year,90,68,75.55555556
ACER,Experimental 4,X27,0 Year,90,90,100
ACER,Experimental 4,X27,1 Year,90,79,87.77777778
ACER,Experimental 4,X27,2 Year,90,66,73.33333333
ACER,Experimental 4,XC4,0 Year,90,90,100
ACER,Experimental 4,XC4,1 Year,90,77,85.55555556
ACER,Experimental 4,XC4,2 Year,90,58,64.44444444
ACER,Experimental 4,XC5,0 Year,90,90,100
ACER,Experimental 4,XC5,1 Year,90,79,87.77777778
ACER,Experimental 4,XC5,2 Year,90,75,83.33333333
ACER,Experimental 5,G16,0 Year,23,23,100
ACER,Experimental 5,G16,1 Year,23,17,73.91304348
ACER,Experimental 5,G17,0 Year,155,155,100
ACER,Experimental 5,G17,1 Year,155,135,87.09677419
ACER,Experimental 5,G20,0 Year,102,102,100
ACER,Experimental 5,G20,1 Year,102,76,74.50980392
ACER,Experimental 5,G21,0 Year,114,114,100
ACER,Experimental 5,G21,1 Year,114,107,93.85964912
ACER,Experimental 5,G26,0 Year,90,90,100
ACER,Experimental 5,G26,1 Year,90,79,87.77777778
ACER,Experimental 5,G26,2 Year,90,67,74.44444444
ACER,Experimental 5,G27,0 Year,113,113,100
ACER,Experimental 5,G27,1 Year,113,99,87.61061947
ACER,Experimental 5,G29,0 Year,102,102,100
ACER,Experimental 5,G29,1 Year,102,101,99.01960784
ACER,Experimental 5,G33,0 Year,90,90,100
ACER,Experimental 5,G33,1 Year,90,78,86.66666667
ACER,Experimental 5,G33,2 Year,90,55,61.11111111
ACER,Experimental 5,S1,0 Year,90,90,100
ACER,Experimental 5,S1,1 Year,90,85,94.44444444
ACER,Experimental 5,S1,2 Year,90,74,82.22222222
ACER,Experimental 5,S4,0 Year,90,90,100
ACER,Experimental 5,S4,1 Year,90,78,86.66666667
ACER,Experimental 5,S4,2 Year,90,50,55.55555556
ACER,Experimental 5,X23,0 Year,90,90,100
ACER,Experimental 5,X23,1 Year,90,80,88.88888889
ACER,Experimental 5,X23,2 Year,90,58,64.44444444
ACER,Experimental 6,G13,0 Year,102,102,100
ACER,Experimental 6,G13,1 Year,102,63,61.76470588
ACER,Experimental 6,G18,0 Year,102,102,100
ACER,Experimental 6,G18,1 Year,102,82,80.39215686
ACER,Experimental 6,G24,0 Year,102,102,100
ACER,Experimental 6,G24,1 Year,102,82,80.39215686
ACER,Experimental 6,G25,0 Year,108,108,100
ACER,Experimental 6,G25,1 Year,108,85,78.7037037
ACER,Experimental 6,GC37,0 Year,102,102,100
ACER,Experimental 6,GC37,1 Year,102,89,87.25490196
ACER,South Commercial,H22,0 Year,106,106,100
ACER,South Commercial,H22,1 Year,106,85,80.18867925
ACER,South Commercial,H22,2 Year,106,69,65.09433962
