Species,Site,Array,Period,Initial.n,n,Survival.Prev
AAGA,West Copenhagen,XC6,0 Year,12,12,100
AAGA,West Copenhagen,XC6,1 Year,12,10,83.33333333
AAGA,West Copenhagen,XC6,2 Year,12,6,50
AAGA,West Copenhagen,XC6-Grouped,0 Year,15,15,100
AAGA,West Copenhagen,XC6-Grouped,1 Year,15,13,86.66666667
AAGA,West Copenhagen,XC6-Grouped,2 Year,15,9,60
ACER,North Hub,G26,0 Year,50,50,100
ACER,North Hub,G26,1 Year,50,18,36
ACER,North Hub,G26,2 Year,50,10,20
ACER,North Hub,G27,0 Year,50,50,100
ACER,North Hub,G27,1 Year,50,31,62
ACER,North Hub,G27,2 Year,50,3,6
ACER,South Hub,G28,0 Year,50,50,100
ACER,South Hub,G28,1 Year,50,26,52
ACER,South Hub,G28,2 Year,50,15,30
ACER,South Hub,G29,0 Year,50,50,100
ACER,South Hub,G29,1 Year,50,30,60
ACER,South Hub,G29,2 Year,50,18,36
CNAT,Experimental 4,G30,0 Year,2,2,100
CNAT,Experimental 4,G30,1 Year,2,2,100
DLAB,Core 2,G37,0 Year,11,11,100
DLAB,Core 2,G37,1 Year,11,11,100
DLAB,Core 2,G37,2 Year,11,11,100
DLAB,Experimental 4,G30,0 Year,9,9,100
DLAB,Experimental 4,G30,1 Year,9,6,66.66666667
DLAB,Experimental 4,G30,2 Year,9,5,55.55555556
DLAB,Experimental 4,G32,0 Year,16,16,100
DLAB,Experimental 4,G32,1 Year,16,8,50
DLAB,Experimental 4,G32,2 Year,16,3,18.75
MCAV,Core 2,G37,0 Year,13,13,100
MCAV,Core 2,G37,1 Year,13,13,100
MCAV,Core 2,G37,2 Year,13,12,92.30769231
MCAV,Experimental 4,G30,0 Year,18,18,100
MCAV,Experimental 4,G30,1 Year,18,11,61.11111111
MCAV,Experimental 4,G30,2 Year,18,9,50
MCAV,Experimental 4,G32,0 Year,29,29,100
MCAV,Experimental 4,G32,1 Year,29,12,41.37931034
MCAV,Experimental 4,G32,2 Year,29,8,27.5862069
MCAV,Experimental 6,G35,0 Year,10,10,100
MCAV,Experimental 6,G35,1 Year,10,10,100
MCAV,Experimental 6,G35,2 Year,10,10,100
OFAV,Core 2,G37,0 Year,9,9,100
OFAV,Core 2,G37,1 Year,9,5,55.55555556
OFAV,Core 2,G37,2 Year,9,3,33.33333333
OFAV,Experimental 4,G30,0 Year,7,7,100
OFAV,Experimental 4,G30,1 Year,7,4,57.14285714
OFAV,Experimental 4,G32,0 Year,2,2,100
PAST,Core 2,G37,0 Year,1,1,100
PAST,Core 2,G37,1 Year,1,1,100
PAST,Core 2,G37,2 Year,1,1,100
PAST,West Copenhagen,XC6,0 Year,14,14,100
PAST,West Copenhagen,XC6,1 Year,14,13,92.85714286
PAST,West Copenhagen,XC6,2 Year,14,11,78.57142857
PAST,West Copenhagen,XC6-Grouped,0 Year,15,15,100
PAST,West Copenhagen,XC6-Grouped,1 Year,15,14,93.33333333
PAST,West Copenhagen,XC6-Grouped,2 Year,15,11,73.33333333
PCLI,Core 2,G37,0 Year,4,4,100
PCLI,Core 2,G37,1 Year,4,3,75
PCLI,Core 2,G37,2 Year,4,2,50
PCLI,Experimental 4,G30,0 Year,3,3,100
PCLI,Experimental 4,G30,1 Year,3,3,100
PCLI,Experimental 4,G30,2 Year,3,3,100
PCLI,Experimental 6,G22,0 Year,70,70,100
PCLI,Experimental 6,G22,1 Year,70,45,64.28571429
PCLI,Experimental 6,G22,2 Year,70,24,34.28571429
PCLI,Experimental 6,G35,0 Year,55,55,100
PCLI,Experimental 6,G35,1 Year,55,24,43.63636364
PCLI,Experimental 6,G35,2 Year,55,22,40
PSTR,Core 2,G37,0 Year,2,2,100
PSTR,Core 2,G37,1 Year,2,1,50
PSTR,Core 2,G37,2 Year,2,1,50
PSTR,Experimental 4,G30,0 Year,8,8,100
PSTR,Experimental 4,G30,1 Year,8,8,100
PSTR,Experimental 4,G30,2 Year,8,3,37.5
PSTR,Experimental 5,G19,0 Year,9,9,100
PSTR,Experimental 5,G19,1 Year,9,4,44.44444444
PSTR,Experimental 5,G38,0 Year,18,18,100
PSTR,Experimental 5,G38,1 Year,18,8,44.44444444
SBOU,Experimental 5,G19,0 Year,38,38,100
SBOU,Experimental 5,G19,1 Year,38,5,13.15789474
SBOU,Experimental 5,G38,0 Year,43,43,100
SBOU,Experimental 5,G38,1 Year,43,4,9.302325581
SBOU,Experimental 6,G22,0 Year,35,35,100
SBOU,Experimental 6,G22,1 Year,35,30,85.71428571
SBOU,Experimental 6,G22,2 Year,35,21,60
SBOU,Experimental 6,G35,0 Year,110,110,100
SBOU,Experimental 6,G35,1 Year,110,83,75.45454545
SBOU,Experimental 6,G35,2 Year,110,78,70.90909091
SSID,Core 2,G37,0 Year,11,11,100
SSID,Core 2,G37,1 Year,11,11,100
SSID,Core 2,G37,2 Year,11,11,100
SSID,Experimental 4,G32,0 Year,22,22,100
SSID,Experimental 4,G32,1 Year,22,10,45.45454545
SSID,Experimental 4,G32,2 Year,22,5,22.72727273
SSID,Experimental 5,G19,0 Year,129,129,100
SSID,Experimental 5,G19,1 Year,129,112,86.82170543
SSID,Experimental 5,G38,0 Year,141,141,100
SSID,Experimental 5,G38,1 Year,141,123,87.23404255
SSID,Experimental 6,G22,0 Year,195,195,100
SSID,Experimental 6,G22,1 Year,195,186,95.38461538
SSID,Experimental 6,G22,2 Year,195,183,93.84615385
SSID,Experimental 6,G35,0 Year,94,94,100
SSID,Experimental 6,G35,1 Year,94,85,90.42553191
SSID,Experimental 6,G35,2 Year,94,85,90.42553191
