Species,Site,Period,Initial.n,n,Survival.Prev
AAGA,West Copenhagen,0 Year,27,27,100
AAGA,West Copenhagen,1 Year,27,23,85.18518519
AAGA,West Copenhagen,2 Year,27,15,55.55555556
ACER,North Hub,0 Year,100,100,100
ACER,North Hub,1 Year,100,49,49
ACER,North Hub,2 Year,100,13,13
ACER,South Hub,0 Year,100,100,100
ACER,South Hub,1 Year,100,56,56
ACER,South Hub,2 Year,100,33,33
CNAT,Experimental 4,0 Year,2,2,100
CNAT,Experimental 4,1 Year,2,2,100
DLAB,Core 2,0 Year,11,11,100
DLAB,Core 2,1 Year,11,11,100
DLAB,Core 2,2 Year,11,11,100
DLAB,Experimental 4,0 Year,25,25,100
DLAB,Experimental 4,1 Year,25,14,56
DLAB,Experimental 4,2 Year,25,8,32
MCAV,Core 2,0 Year,13,13,100
MCAV,Core 2,1 Year,13,13,100
MCAV,Core 2,2 Year,13,12,92.30769231
MCAV,Experimental 4,0 Year,47,47,100
MCAV,Experimental 4,1 Year,47,23,48.93617021
MCAV,Experimental 4,2 Year,47,17,36.17021277
MCAV,Experimental 6,0 Year,10,10,100
MCAV,Experimental 6,1 Year,10,10,100
MCAV,Experimental 6,2 Year,10,10,100
OFAV,Core 2,0 Year,9,9,100
OFAV,Core 2,1 Year,9,5,55.55555556
OFAV,Core 2,2 Year,9,3,33.33333333
OFAV,Experimental 4,0 Year,9,9,100
OFAV,Experimental 4,1 Year,9,4,44.44444444
PAST,Core 2,0 Year,1,1,100
PAST,Core 2,1 Year,1,1,100
PAST,Core 2,2 Year,1,1,100
PAST,West Copenhagen,0 Year,29,29,100
PAST,West Copenhagen,1 Year,29,27,93.10344828
PAST,West Copenhagen,2 Year,29,22,75.86206897
PCLI,Core 2,0 Year,4,4,100
PCLI,Core 2,1 Year,4,3,75
PCLI,Core 2,2 Year,4,2,50
PCLI,Experimental 4,0 Year,3,3,100
PCLI,Experimental 4,1 Year,3,3,100
PCLI,Experimental 4,2 Year,3,3,100
PCLI,Experimental 6,0 Year,125,125,100
PCLI,Experimental 6,1 Year,125,69,55.2
PCLI,Experimental 6,2 Year,125,46,36.8
PSTR,Core 2,0 Year,2,2,100
PSTR,Core 2,1 Year,2,1,50
PSTR,Core 2,2 Year,2,1,50
PSTR,Experimental 4,0 Year,8,8,100
PSTR,Experimental 4,1 Year,8,8,100
PSTR,Experimental 4,2 Year,8,3,37.5
PSTR,Experimental 5,0 Year,27,27,100
PSTR,Experimental 5,1 Year,27,12,44.44444444
SBOU,Experimental 5,0 Year,81,81,100
SBOU,Experimental 5,1 Year,81,9,11.11111111
SBOU,Experimental 6,0 Year,145,145,100
SBOU,Experimental 6,1 Year,145,113,77.93103448
SBOU,Experimental 6,2 Year,145,99,68.27586207
SSID,Core 2,0 Year,11,11,100
SSID,Core 2,1 Year,11,11,100
SSID,Core 2,2 Year,11,11,100
SSID,Experimental 4,0 Year,22,22,100
SSID,Experimental 4,1 Year,22,10,45.45454545
SSID,Experimental 4,2 Year,22,5,22.72727273
SSID,Experimental 5,0 Year,270,270,100
SSID,Experimental 5,1 Year,270,235,87.03703704
SSID,Experimental 6,0 Year,289,289,100
SSID,Experimental 6,1 Year,289,271,93.7716263
SSID,Experimental 6,2 Year,289,268,92.73356401
