"Species","Site","Period","Initial.n","n","Survival.Prev"
"ACER","Core 1","0 Year",450,450,100
"ACER","Core 1","1 Year",450,297,66
"ACER","Core 2","0 Year",679,679,100
"ACER","Core 2","1 Year",679,290,42.7098674521355
"ACER","Core 2","2 Year",679,212,31.2223858615611
"ACER","Experimental 1","0 Year",519,519,100
"ACER","Experimental 1","1 Year",519,413,79.5761078998073
"ACER","Experimental 4","0 Year",450,450,100
"ACER","Experimental 4","1 Year",450,372,82.6666666666667
"ACER","Experimental 4","2 Year",450,306,68
"ACER","Experimental 5","0 Year",1059,1059,100
"ACER","Experimental 5","1 Year",1059,935,88.2908404154863
"ACER","Experimental 5","2 Year",1059,304,28.7063267233239
"ACER","Experimental 6","0 Year",516,516,100
"ACER","Experimental 6","1 Year",516,401,77.7131782945737
"ACER","South Commercial","0 Year",784,784,100
"ACER","South Commercial","1 Year",784,594,75.765306122449
"ACER","South Commercial","2 Year",784,482,61.4795918367347
"ACER","South Commercial","3 Year",784,408,52.0408163265306
"ACER","Staghorn City","0 Year",720,720,100
"ACER","Staghorn City","1 Year",720,565,78.4722222222222
"ACER","Staghorn City","2 Year",720,455,63.1944444444444
"ACER","Staghorn City","3 Year",720,423,58.75
"ACER","West Copenhagen","0 Year",270,270,100
"ACER","West Copenhagen","1 Year",270,252,93.3333333333333
"ACER","West Copenhagen","2 Year",270,213,78.8888888888889
"ACER","West Copenhagen","3 Year",270,188,69.6296296296296
"DLAB","Core 2","0 Year",12,12,100
"DLAB","Core 2","1 Year",12,12,100
"MCAV","Core 2","0 Year",242,242,100
"MCAV","Core 2","1 Year",242,194,80.1652892561983
"PAST","Core 2","0 Year",83,83,100
"PAST","Core 2","1 Year",83,72,86.7469879518072
"PCLI","Core 2","0 Year",27,27,100
"PCLI","Core 2","1 Year",27,25,92.5925925925926
"PPOR","Core 2","0 Year",37,37,100
"PPOR","Core 2","1 Year",37,34,91.8918918918919
"SINT","Core 2","0 Year",69,69,100
"SINT","Core 2","1 Year",69,28,40.5797101449275
